ID,variable,agency,inventory_description,notes,time_support
1084,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1086,inflow,BOR,Real time,,unresolved
1086,outflow,usgs_8382830,,,unresolved
1092,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1092,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1093,inflow,DUKE,Real time,,unresolved
1093,outflow,DUKE,Real time,,unresolved
1095,inflow,BOR,Real time,,unresolved
1095,outflow,usgs,,,unresolved
1101,inflow,ACE_VIC,Real time,,unresolved
1101,outflow,ACE_VIC,Real time,,unresolved
1109,inflow,BOR,Real time,,unresolved
1109,outflow,BOR,Real time,,unresolved
1112,inflow,ACE_VIC,Real time,,unresolved
1112,outflow,ACE_VIC,Real time,,unresolved
1120,inflow,DUKE,Real time,,unresolved
1120,outflow,DUKE,Real time,,unresolved
1121,inflow,ACE_VIC,Real time,,unresolved
1121,outflow,ACE_VIC,Real time,,unresolved
1122,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1122,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1124,inflow,DUKE,Real time,,unresolved
1124,outflow,DUKE,Real time,,unresolved
1125,inflow,ACE_VIC,Real time,,unresolved
1125,outflow,ACE_VIC,Real time,,unresolved
1127,inflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1127,outflow,ACE_LIT,Real time,Linear interpolation was doneto determine storage values as we were given the storage-elevation chart. We marked extremely negative values as 0.,unresolved
1128,inflow,DUKE,Real time,,unresolved
1128,outflow,DUKE,Real time,,unresolved
1134,inflow,DUKE,Real time,,unresolved
1134,outflow,DUKE,Real time,,unresolved
114,inflow,BOR_PN,Real time,,unresolved
114,outflow,BOR_PN,Real time,,unresolved
1144,inflow,DUKE,Real time,,unresolved
1144,outflow,DUKE,Real time,,unresolved
1151,inflow,ACE_FOR,Real time,,unresolved
1151,outflow,usgs_8051135,,,unresolved
1170,inflow,DUKE,Real time,,unresolved
1170,outflow,DUKE,Real time,,unresolved
1192,inflow,ACE_VIC,Real time,,unresolved
1192,outflow,ACE_VIC,Real time,,unresolved
1197,inflow,DUKE,Real time,,unresolved
1197,outflow,DUKE,Real time,,unresolved
1207,inflow,PRVWD,Real time,Storage was linearly interpolated using storage elevation charts.,unresolved
1207,outflow,PRVWD,Real time,Storage was linearly interpolated using storage elevation charts.,unresolved
1237,inflow,ACE_FOR,Real time,,unresolved
1237,outflow,ACE_FOR,Real time,,unresolved
1249,inflow,ACE_FOR,Real time,,unresolved
1249,outflow,ACE_FOR,Real time,,unresolved
131,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
131,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
132,inflow,BOR,Real time,,unresolved
132,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
133,inflow,BOR,Real time,,unresolved
133,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
144,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
144,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
148,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
148,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
1585,inflow,ACE_PHI,,,unresolved
1585,outflow,ACE_PHI,,,unresolved
1586,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1586,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1587,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1587,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1592,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1592,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1595,inflow,ACE_HUN,Real time,,unresolved
1595,outflow,ACE_HUN,Real time,,unresolved
1600,inflow,ACE_HUN,Real time,,unresolved
1600,outflow,ACE_HUN,Real time,,unresolved
1606,inflow,ACE_HUN,Real time,,unresolved
1606,outflow,ACE_HUN,Real time,,unresolved
1615,inflow,ACE_PHI,,,unresolved
1615,outflow,ACE_PHI,,,unresolved
1617,inflow,ACE_HUN,Real time,,unresolved
1617,outflow,ACE_HUN,Real time,,unresolved
1619,inflow,ACE_HUN,Real time,,unresolved
1619,outflow,ACE_HUN,Real time,,unresolved
1620,inflow,ACE_HUN,Real time,,unresolved
1620,outflow,ACE_HUN,Real time,,unresolved
163,inflow,DUKE,Real time,,unresolved
163,outflow,DUKE,Real time,,unresolved
1631,inflow,ACE_HUN,Real time,,unresolved
1631,outflow,ACE_HUN,Real time,,unresolved
1634,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1634,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1636,inflow,ACE_HUN,Real time,,unresolved
1636,outflow,ACE_HUN,Real time,,unresolved
1645,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1645,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1650,inflow,ACE_HUN,Real time,,unresolved
1650,outflow,ACE_HUN,Real time,,unresolved
1654,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1654,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1655,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1655,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1656,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1656,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
168,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
168,outflow,usgs_11418000,,,unresolved
1683,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1683,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
169,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
169,outflow,usgs_11461000,,,unresolved
1691,inflow,ACE_HUN,Real time,,unresolved
1691,outflow,ACE_HUN,Real time,,unresolved
1699,inflow,ACE_HUN,Real time,,unresolved
1699,outflow,ACE_HUN,Real time,,unresolved
1703,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1703,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1706,inflow,ACE_HUN,Real time,,unresolved
1706,outflow,ACE_HUN,Real time,,unresolved
1707,inflow,ACE_HUN,Real time,,unresolved
1707,outflow,ACE_HUN,Real time,,unresolved
1709,inflow,ACE_HUN,Real time,,unresolved
1709,outflow,ACE_HUN,Real time,,unresolved
1712,inflow,ACE_HUN,Real time,,unresolved
1712,outflow,ACE_HUN,Real time,,unresolved
1713,inflow,ACE_HUN,Real time,,unresolved
1713,outflow,ACE_HUN,Real time,,unresolved
1714,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1714,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1716,inflow,DUKE,Real time,,unresolved
1716,outflow,DUKE,Real time,,unresolved
1718,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1718,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1723,inflow,ACE_HUN,Real time,,unresolved
1723,outflow,ACE_HUN,Real time,,unresolved
1726,inflow,ACE_HUN,Real time,,unresolved
1726,outflow,ACE_HUN,Real time,,unresolved
173,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
173,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
1733,inflow,ACE_HUN,Real time,,unresolved
1733,outflow,ACE_HUN,Real time,,unresolved
1735,inflow,ACE_HUN,Real time,,unresolved
1735,outflow,ACE_HUN,Real time,,unresolved
1739,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1739,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1740,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1740,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1741,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1741,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1742,inflow,ACE_HUN,Real time,,unresolved
1742,outflow,ACE_HUN,Real time,,unresolved
1744,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1744,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1752,inflow,ACE_NAS,,,unresolved
1752,outflow,ACE_NAS,,,unresolved
1753,inflow,TVA,Aggregated spatially and temporally,inflow was not provided by the agency. The gauges used by TVA to estimate inflow for the dams are listed here: Bear Creek at Bishop; Bear Creek near Red Bay; Beaver Creek near Monticello; Beech below Wolf Creek;Big Nance Creek at Courtland Big Sandy at Bruceton; Bledsoe Creek; Bradley Creek near Prairie Plains; Buffalo below Lobelville; Buffalo near FLat Woods; Calfkiller below Sparta; Clear Fork Near Robbins; Clinch Above Tazewell; Clinch at Cleveland; CLinch at Speers Ferry; Collins Near McMinniville; Cumberland at Williamsburg; Doe at Elizabethton; Duck above Hurricane Mills; Duck at Centerville;Duck at Columbia; Duck at Milltown; Duck at Shelbyville; Duck below Manchester; Duck near Shelbyville; East Fork Obey near Jamestown;East Fork Pigeon at Canton; East Fork Stones near Lascassas; Elk River near Pelham; Elk above Fayetteville; Elk at Prospect; Emory at Oakdale; Flint at Brownsboro; Flint near Chase; French Broad at Asheville; French Broad at Blantyre; French Broad at Hot Springs; French Broad at Marshall; French Broad at Rosman; French Broad near Newport; Green at Paradise; Harpeth at Bellevue; Harpeth at Franklin TN; Harpeth at Kingston Springs; hiwassee at Charleston; Hiwassee at Presley; Hiwassee near Hiwassee; Horse Creek near Savannah; Little Pigeon atSevierville; Little Tennessee at Needmore Little Tennessee at Prentiss; Little above Townsend; LIttle at Alcoa; Little near Cadiz; Little nearMaryville; Lookout at New England; Middle Fork Holston at 7 Mile Frd; MIll Creek near Antioch; New near Robbins;Nolichucky at Embreeville; Nolichucky at Lowlands;North Fork Holston at Saltville; North Fork Holston near Gate City; Nottely at Blairsville(TVA);Nottely near Blairsville (USGS); Ocoee at Copperhill; Ocoee near Archville; Oconaluftee at Birdtown; Pain Rock near Woodville;Pigeon at Newport; Pigeon at Waterville; Pigeon near Hepco; Powell near Arthur; Powell nearJonesville; Richland at Pulaski; Red at Port Royal; Rockcastle at Billows;Sequatchie near Whiwell; Sewee Creek near Decatur;Shoal Creek at Iron City; Smiths Fork at Temperance Hall;South Chickamauga Creek near Chickamauga; South Fork Cumberland near Stearns; South Fork Holston River at Kingsport (TEC); South Fork near Damascus; South Sauty Creek near Rainsville; Swannanoa at Biltmore; Tellico River at Tellico Plains; Toccoa near Dial; Town Creek near Geraldine; Tuckasegee at Bryson City; Tuckasegee at Tuckasegee;Tuckasegee near Dillsboro; Watauga at Elizabethton; Watauga near Sugar Grove;West Chickamauga at Fort Oglethorpe; West Fork Pigeon at Retreat; West Fork Stones at Murfreesboro; Wolf near Byrdstown; Yellow Creek at Ellis Mills,unresolved
1753,outflow,TVA,Aggregated spatially and temporally,inflow was not provided by the agency. The gauges used by TVA to estimate inflow for the dams are listed here: Bear Creek at Bishop; Bear Creek near Red Bay; Beaver Creek near Monticello; Beech below Wolf Creek;Big Nance Creek at Courtland Big Sandy at Bruceton; Bledsoe Creek; Bradley Creek near Prairie Plains; Buffalo below Lobelville; Buffalo near FLat Woods; Calfkiller below Sparta; Clear Fork Near Robbins; Clinch Above Tazewell; Clinch at Cleveland; CLinch at Speers Ferry; Collins Near McMinniville; Cumberland at Williamsburg; Doe at Elizabethton; Duck above Hurricane Mills; Duck at Centerville;Duck at Columbia; Duck at Milltown; Duck at Shelbyville; Duck below Manchester; Duck near Shelbyville; East Fork Obey near Jamestown;East Fork Pigeon at Canton; East Fork Stones near Lascassas; Elk River near Pelham; Elk above Fayetteville; Elk at Prospect; Emory at Oakdale; Flint at Brownsboro; Flint near Chase; French Broad at Asheville; French Broad at Blantyre; French Broad at Hot Springs; French Broad at Marshall; French Broad at Rosman; French Broad near Newport; Green at Paradise; Harpeth at Bellevue; Harpeth at Franklin TN; Harpeth at Kingston Springs; hiwassee at Charleston; Hiwassee at Presley; Hiwassee near Hiwassee; Horse Creek near Savannah; Little Pigeon atSevierville; Little Tennessee at Needmore Little Tennessee at Prentiss; Little above Townsend; LIttle at Alcoa; Little near Cadiz; Little nearMaryville; Lookout at New England; Middle Fork Holston at 7 Mile Frd; MIll Creek near Antioch; New near Robbins;Nolichucky at Embreeville; Nolichucky at Lowlands;North Fork Holston at Saltville; North Fork Holston near Gate City; Nottely at Blairsville(TVA);Nottely near Blairsville (USGS); Ocoee at Copperhill; Ocoee near Archville; Oconaluftee at Birdtown; Pain Rock near Woodville;Pigeon at Newport; Pigeon at Waterville; Pigeon near Hepco; Powell near Arthur; Powell nearJonesville; Richland at Pulaski; Red at Port Royal; Rockcastle at Billows;Sequatchie near Whiwell; Sewee Creek near Decatur;Shoal Creek at Iron City; Smiths Fork at Temperance Hall;South Chickamauga Creek near Chickamauga; South Fork Cumberland near Stearns; South Fork Holston River at Kingsport (TEC); South Fork near Damascus; South Sauty Creek near Rainsville; Swannanoa at Biltmore; Tellico River at Tellico Plains; Toccoa near Dial; Town Creek near Geraldine; Tuckasegee at Bryson City; Tuckasegee at Tuckasegee;Tuckasegee near Dillsboro; Watauga at Elizabethton; Watauga near Sugar Grove;West Chickamauga at Fort Oglethorpe; West Fork Pigeon at Retreat; West Fork Stones at Murfreesboro; Wolf near Byrdstown; Yellow Creek at Ellis Mills,unresolved
1754,inflow,ACE_NAS,,,unresolved
1754,outflow,ACE_NAS,,,unresolved
1755,inflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1755,outflow,ACE_LOU,Aggregated spatially and temporally,Given inflow and outflow from multiple sources as well as over 4 hour periods. Summed the inflow and outflow from different sources and then took the average over the day to get the daily inflow and outflow to each reservoir. Storage was linearly interpolated as we were also given a storage-elevation curve,agency_note_daily_average
1756,inflow,ACE_NAS,,,unresolved
1756,outflow,ACE_NAS,,,unresolved
1761,inflow,DUKE,Real time,,unresolved
1761,outflow,DUKE,Real time,,unresolved
1762,inflow,ACE_NAS,,,unresolved
1762,outflow,ACE_NAS,,,unresolved
1768,inflow,ACE_NAS,,,unresolved
1768,outflow,ACE_NAS,,,unresolved
1775,inflow,ACE_NAS,,,unresolved
1775,outflow,ACE_NAS,,,unresolved
1776,inflow,DUKE,Real time,,unresolved
1776,outflow,DUKE,Real time,,unresolved
1777,inflow,ACE_NAS,,,unresolved
1777,outflow,ACE_NAS,,,unresolved
1782,inflow,DUKE,Real time,,unresolved
1782,outflow,DUKE,Real time,,unresolved
1796,inflow,DUKE,Real time,,unresolved
1796,outflow,DUKE,Real time,,unresolved
180,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
180,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
182,inflow,BOR,Real time,,unresolved
182,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
1848,inflow,ACE_VIC,Real time,,unresolved
1848,outflow,ACE_VIC,Real time,,unresolved
185,inflow,BOR,Real time,,unresolved
185,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
1851,inflow,ACE_SAV,Real time,,unresolved
1851,outflow,ACE_SAV,Real time,,unresolved
1864,inflow,ACE_VIC,Real time,,unresolved
1864,outflow,ACE_VIC,Real time,,unresolved
1869,inflow,ACE_VIC,Real time,,unresolved
1869,outflow,ACE_VIC,Real time,,unresolved
1872,inflow,ACE_SAV,Real time,,unresolved
1872,outflow,ACE_SAV,Real time,,unresolved
1879,inflow,SAN,Aggregated spatially from streamgages,Storage for Lake Marion was linearly interpolated using storage elevation relationships. All data was downloaded from USGS streamgages (Elevation: Lake Marion: 02171000; Lake Moultrie:  02172000; Inflow: Wateree River: 02148000; Camden River: 02148000; Ft. Motte: 02169810; Outflow: Cooper River: 02172002; Santee River: 02171500; Rediv Canal: 02171645; Santee + Red: 02171700,unresolved
1879,outflow,SAN,Aggregated spatially from streamgages,Storage for Lake Marion was linearly interpolated using storage elevation relationships. All data was downloaded from USGS streamgages (Elevation: Lake Marion: 02171000; Lake Moultrie:  02172000; Inflow: Wateree River: 02148000; Camden River: 02148000; Ft. Motte: 02169810; Outflow: Cooper River: 02172002; Santee River: 02171500; Rediv Canal: 02171645; Santee + Red: 02171700,unresolved
1883,inflow,ACE_VIC,Real time,,unresolved
1883,outflow,ACE_VIC,Real time,,unresolved
1890,inflow,SAN,Aggregated spatially from streamgages,Storage for Lake Marion was linearly interpolated using storage elevation relationships. All data was downloaded from USGS streamgages (Elevation: Lake Marion: 02171000; Lake Moultrie:  02172000; Inflow: Wateree River: 02148000; Camden River: 02148000; Ft. Motte: 02169810; Outflow: Cooper River: 02172002; Santee River: 02171500; Rediv Canal: 02171645; Santee + Red: 02171700,unresolved
1890,outflow,SAN,Aggregated spatially from streamgages,Storage for Lake Marion was linearly interpolated using storage elevation relationships. All data was downloaded from USGS streamgages (Elevation: Lake Marion: 02171000; Lake Moultrie:  02172000; Inflow: Wateree River: 02148000; Camden River: 02148000; Ft. Motte: 02169810; Outflow: Cooper River: 02172002; Santee River: 02171500; Rediv Canal: 02171645; Santee + Red: 02171700,unresolved
190,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
190,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
191,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
191,outflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
1910,inflow,DUKE,Real time,,unresolved
1910,outflow,DUKE,Real time,,unresolved
1916,inflow,usgs_235750,,,unresolved
1916,outflow,usgs_2358000,,,unresolved
193,inflow,CDEC,Real time,Pan evaporation values were used for Coyote. ,unresolved
